,cars,demands,labels,locations,megacluster,streetName,streetSide,clusterID
1720,2.614194299,0.417808036,B399615,"[453126.3809, 4622387.049]",0,S ESSEX AVE,E,5
1721,2.614194299,0.417808036,B399616,"[453123.4348, 4622388.4]",0,S ESSEX AVE,W,5
1722,2.614194299,0.417808036,B399617,"[453075.3019, 4622368.499]",0,E 79TH ST,N,5
1723,2.614194299,0.417808036,B399618,"[453126.9802, 4622350.997]",0,S ESSEX AVE,E,5
1724,2.0,0.0,B399619,"[452951.9248, 4622368.643]",0,E 79TH ST,N,5
1725,1.666666667,0.333333333,B402601,"[454145.9306, 4620494.177]",0,S COMMERCIAL AVE,W,22
1726,5.2,0.5,B402603,"[454143.2798, 4620698.421]",0,S COMMERCIAL AVE,W,22
1727,1.625,0.625,B402605,"[454147.5131, 4620610.725]",0,S COMMERCIAL AVE,E,22
1728,1.777777778,0.444444444,B402607,"[454150.2048, 4620438.925]",0,S COMMERCIAL AVE,E,22
1729,5.538461538,1.846153846,B402609,"[454149.7701, 4620214.359]",0,S COMMERCIAL AVE,W,22
1730,4.65,1.5,B402611,"[454151.2516, 4620080.006]",0,S COMMERCIAL AVE,W,22
1731,2.166666667,1.083333333,B402613,"[454083.3518, 4619953.761]",0,E 91ST ST,N,22
1732,0.777777778,0.111111111,B402614,"[454098.3385, 4619951.331]",0,E 91ST ST,S,22
1733,2.958333333,1.333333333,B402615,"[454215.4033, 4619951.804]",0,E 91ST ST,S,22
1734,1.428571429,0.428571429,B402616,"[454270.1104, 4619986.18]",0,S HOUSTON AVE,E,22
1735,1.555555556,0.333333333,B402617,"[454267.1231, 4619989.977]",0,S HOUSTON AVE,W,22
1736,1.0,0.555555556,B402618,"[454242.0242, 4619954.745]",0,E 91ST ST,N,22
1737,4.333333333,1.333333333,B402619,"[454154.4547, 4620074.984]",0,S COMMERCIAL AVE,E,22
1738,6.62962963,1.851851852,B402621,"[454152.9427, 4620222.117]",0,S COMMERCIAL AVE,E,22
1739,5.777777778,1.777777778,B403601,"[454153.7135, 4619846.131]",0,S COMMERCIAL AVE,W,22
1740,0.714285714,0.142857143,B403602,"[454068.6073, 4619750.497]",0,E 92ND ST,N,22
1741,0.571428571,0.428571429,B403603,"[454042.5469, 4619800.282]",0,S EXCHANGE AVE,E,22
1742,3.3125,0.5625,B403604,"[454193.0775, 4619748.588]",0,E 92ND ST,S,22
1743,0.75,0.375,B403605,"[454270.7251, 4619733.201]",0,S HOUSTON AVE,W,22
1744,0.444444444,0.444444444,B403606,"[454273.8343, 4619731.014]",0,S HOUSTON AVE,E,22
1745,2.238095238,0.80952381,B403608,"[454233.3649, 4619751.72]",0,E 92ND ST,N,22
1746,5.692307692,2.153846154,B403609,"[454157.3267, 4619800.713]",0,S COMMERCIAL AVE,E,22
1747,0.0,0.0,B403611,"[454270.9045, 4619935.892]",0,S HOUSTON AVE,E,22
1748,3.133333333,0.8,B404601,"[454155.6301, 4619709.933]",0,S COMMERCIAL AVE,W,22
1749,0.285714286,0.0,B404602,"[454098.5821, 4619650.1]",0,S SOUTH CHICAGO AVE,E,22
